element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Sc,-0.8494431030919063,-0.23642202362800613,-1.2802138832712302,0.494854487532979,-0.3303695367063595,1.9041532485408605,0.40061189663790797,-0.18194046530700742,1.90228970248416,0.32945943053139726,-0.13898319897993794,-0.47475927707747184,1.633210969423001,-0.14425278951394294,0.9572299221421126,-0.46685006087042574,0.42783564005725044,2.0827722012617746,0.5183146622499,-0.38452301393398264,-0.04589862975512508,-1.1109498526302657,1.4064526681282563,-0.4291131711872272,0.5366320664328227,0.9826027686214371,-0.08396303962911432,-1.3677447880110207,-0.5348288702304483,0.14280429594198482,-0.10944821358332307,1.0626470842039486,-0.16670319845082923,-2.7607374022382194,1.7165302859236222,-0.07147467657265426,-0.8130505142643413,-0.6244570984535713,-1.017010989128168,1.1006379478239376
Ti,-0.5635731713843632,-1.1880846427551597,-1.1590324545553148,0.11493008693442788,-0.237882310678176,0.5293497229637029,0.8854090373366562,-1.258381947200691,1.226060908250667,1.53107191348393,-0.1816171364586847,1.5369380000397208,0.3416026186128941,0.8428934834412075,-2.2342919184020067,-0.44203051071967625,1.4965174765803035,1.005932999252896,1.7986747873538298,-0.4277107623327855,0.25343370999294174,1.3247831785057804,0.8251157876092108,-1.0834591595102752,-0.12986101715784953,0.21869747090615502,-1.3593216498398493,-0.03539494366993372,-0.9275324945507656,0.3266287279866686,-0.3389060032067359,-0.9256532691335017,0.7448509970319004,0.6895148013369099,-0.9644558449116423,0.7596136881265619,1.536498913855902,0.6063265721186222,0.45372713851592555,0.5721480156705411
V,-0.35090242307740005,-1.3098178903612632,-0.24017094199171524,-0.6932283381630677,0.19012401381573638,-0.10271395001608517,0.4631199736793089,-1.32580882544036,-0.5953984818021952,-0.8709926704810828,-1.2474553973715334,1.1121842565667464,0.3974470779447088,-0.8845331418457212,0.24358554682469918,0.1537418226743948,0.281918351161468,-0.20991985698780483,0.4325559965108029,-1.3630724881542666,0.17871966515771695,-1.271367552494984,0.6360509610886426,0.456459457011925,2.2577260753054524,-1.3918023488920044,-0.5742631682310604,2.658020884492148,-1.3729106490591705,0.029072112202151893,-0.3648229082917193,-1.941169139492839,-0.10310848599544178,-1.1969939504112737,-2.3579855443810462,-1.6548480656861693,-1.4045292804552827,0.5178393736814063,-0.47518937791396554,-0.6634555234385691
Cr,-0.44288995896356315,-1.2600866911468562,-0.7667583929429165,-0.9107609359955525,-0.39630096344755145,0.9750911268909239,0.8819616912639525,-1.2365401853878695,-0.6032041162749553,-0.896006769897358,-1.8254944001319147,-0.3190462547990006,-0.22891912568448117,-1.000051326966636,-1.4967871247296392,0.42660693626261803,0.42970031257890634,-0.4128023071348828,-2.0330175010999842,0.8630612395151256,0.9236490754717656,-0.24150950743331062,-0.3459866165019166,0.44163790316291884,-1.1466396737405218,-1.0409115076045976,-0.1168946758097169,0.9828749708069082,-0.16943993749169903,1.1967189711624293,1.0549755227759317,0.6612652188098885,-0.39470251098582665,0.7393018613644513,0.9877016358737994,0.5035318987416081,0.24905239487698708,-0.615604254368365,0.8457150645321101,1.5139263011409179
Mn,-0.09006906631560081,-1.3754985274007694,-0.7505852022631633,-1.1730469711039828,-0.34558172468587595,0.6286093513267511,1.9213207002174049,-1.428685639026303,0.09152081770770662,-1.171480384234906,0.5463184330014715,1.3006308291723996,-1.0773334802491712,-0.0482977002532913,0.2507795602386756,-0.18242476995676968,-2.0744846572332425,0.24204029215379877,-0.4718218047863788,-0.20816870106447355,-0.35231611861230866,-1.0379630250474732,-0.8853170292443793,-0.8867611850438675,-1.3814966500511614,-1.1585000649890531,0.4945978329922318,-2.085543532106652,0.5301086112452703,0.404577353575273,0.1771898404838345,0.9267427177407581,0.5951120256630765,-0.23688254571710665,0.3022512889161024,0.6881331808407446,-0.9061652062868969,-0.8245228562869618,0.9009582353941601,-0.4098842671176813
Fe,-0.22311911303246568,-1.2347354941173994,-0.46686797693255466,-1.6198025293640057,-0.5314795421115934,0.4019800591309396,1.0408636219113643,-0.9668890266168972,0.8551515125751208,-0.029375991836157016,0.5024999903865838,0.6391544700540489,0.7331556538577404,1.7112068604268265,-1.0129572868659091,0.955186613475282,0.19174161626208766,-0.3488733828350967,-1.390855649521007,1.143055494845006,-1.7966112788116437,-2.057202769024923,1.982366719826973,0.8058164369597256,-0.776469416651814,2.273374960707688,1.5544805451111963,-0.06473823913463729,1.6850443497035552,-1.3597201456253845,-0.13066144188873327,-0.5141139090917428,-1.7858808290590638,-0.2683351421292595,-0.4134884214261901,-1.727446924156397,0.6651789214208408,0.5979348462788895,-0.3199537580423546,-0.34102581996741
Co,-0.15396711906325714,-1.140694152779728,-0.4212953409838185,-1.5466640880502487,-0.4653996883722744,0.4755424048960507,1.4233645191043482,-0.6751313544663495,-1.3914059516564317,-0.9561836807558443,0.0742101063732918,-0.957785098478512,1.2118568521330273,0.3747906885236352,1.2943126616471732,0.9741394192204763,2.310014066260322,0.30531517345130627,-0.8123323023621353,0.5930580880624552,-2.0047795880758206,1.4213863462964897,-1.3221317480064334,0.02579045026225103,0.30914004263756667,-0.33216122994442193,-0.4109919281925066,-2.400046122673745,0.3417423368143886,-2.1233912632004945,-0.06364141963251439,-0.032194299154719545,1.072783628942459,0.8456769650982825,-0.555278146864348,-0.9358090913225029,0.595387627792157,0.7971582048678764,-0.7049205190903517,-0.4419821773367224
Ni,0.09993281496878288,-1.1406557060238791,-0.02059264181978483,-1.6628927545161019,-1.4811038571077695,-0.14659769292194655,1.9334860752400447,-0.27345509625884784,-1.0473214076093682,1.0025765377446003,1.465476278168154,-1.6008736597663813,1.6459324931810304,-0.3295129144970814,0.42374554110940543,-0.6688685037229116,-0.5958023968502257,1.5443096488177466,-1.0187816407647747,-0.36993474510278546,1.5526971322697292,2.0247602760367793,-2.2014575863779013,0.017185309832430804,0.11321634597767218,2.051659396792507,1.036351855376096,1.4591468721787977,-0.07900239154751157,0.8369010272453932,0.4741924402336772,0.6449540389609765,-0.11510476937632814,0.5029813091829307,-0.3463326581050001,0.06925310206140019,-0.40195813368054983,-0.749403603976015,-0.04877660049344818,-1.2125217928897483
Cu,0.1851731638209318,-0.5242262869647883,0.4333316606413351,-2.2917027322297674,-0.3781755664374406,0.7117119133052748,2.2051844934514877,-0.024200903701696214,-0.7507659630964486,0.07034573474098751,1.802404620664698,-1.668382693399198,0.2874186618611189,-0.7959515443371984,0.44977175722274065,1.419730984197142,-0.6036769238195904,-1.1811902491000343,-0.5528819601867562,-0.3964541692582326,0.7836408984751692,2.0917791317177357,2.5877039574198766,0.532626787268335,0.1371987951497164,-1.058606460965708,0.14998417095417332,0.38118891576864566,0.2909732525737919,-0.6862425503148118,-0.8539552438537152,-1.1135976796162055,0.42331727299544314,0.024790732149085563,0.47137453929348067,0.13446290193346958,0.7154270550001562,0.023843303747170516,0.7379514258445796,1.7043963899856762
Zn,0.1424066848828279,-0.35920516182400025,0.6689847208166031,-2.3442831910452,0.6479312389027284,0.8915162909680269,1.418049579123366,0.8999352573461294,1.063838034732196,0.3947942204296799,-1.0041153064553716,0.27542963610435317,0.35348792608879986,-0.4522049744678268,0.7206879411435688,0.5262292341980188,0.32527050862027723,0.23769122676273666,1.5390030794480556,0.8487899196095885,0.6376581751139312,-2.714621250454421,-1.256426669207457,-0.16022238234284344,-0.24239717169399025,-0.4684842113534924,-1.3144542284831189,1.1829740601258252,0.5232739209857071,1.3385030916101561,-1.1920526867444214,-0.7116687395324518,1.2276768465763055,0.2551668213113843,-0.0467184601168002,0.7374510059255939,-0.01803655503054072,-0.7804530616921853,-0.7535794840330967,-1.0384271332953572
